credit_duration(month),credit_amount,duration_of_current_employment,installment_percent,guarantors,duration_in_current_address,age,concurrent_credits,no_of_credits_at_the_bank,no_of_dependents,telephone,account_type,payment_status_of_previous_loan,loan_purpose,savings_type,marital_status,most_valuable_asset,type_of_apartment,occupation,foreign_worker,label
12,3077,3,2,1,4,52,3,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,2284,4,4,1,2,28,3,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1567,3,1,1,1,22,3,1,1,2,current,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
24,2032,5,4,1,4,60,3,2,1,2,corporate,partly paid,purchase a vehicle,high-yield savings accounts,married,financial assets,studio apartment,service and sales,no,0
21,2745,4,3,1,2,32,3,2,1,2,current,paid,travel and vacations,certificate of deposit,married,real property,one-bedroom apartment,service and sales,no,0
30,1867,5,4,1,4,58,3,1,1,2,corporate,opted to pay,investments for future,savings account,married,real property,one-bedroom apartment,service and sales,no,0
36,2299,5,4,1,4,39,3,1,1,1,corporate,opted to pay,investments for future,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,929,4,4,1,2,31,2,1,1,2,corporate,opted to pay,travel and vacations,savings account,married,real property,one-bedroom apartment,service and sales,no,0
12,3399,5,2,1,3,37,3,1,1,1,entrepreneur,opted to pay,investments for future,savings account,married,real property,one-bedroom apartment,professional and managerial,no,0
9,2030,4,2,1,1,24,3,1,1,2,current,opted to pay,travel and vacations,savings account,married,real property,one-bedroom apartment,service and sales,no,0
21,3275,5,1,1,4,36,3,1,1,2,corporate,paid,weddings,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
24,1940,5,4,1,4,60,3,1,1,2,corporate,paid,purchase a vehicle,certificate of deposit,married,human capital,one-bedroom apartment,service and sales,no,0
21,1602,5,4,1,3,30,3,2,1,2,savings,paid,purchase a vehicle,high-yield savings accounts,single,real property,one-bedroom apartment,service and sales,no,0
15,1979,5,4,1,2,35,3,1,1,1,corporate,opted to pay,investments for future,savings account,married,real property,one-bedroom apartment,service and sales,no,0
24,2022,3,4,1,4,37,3,1,1,2,corporate,paid,purchase a vehicle,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
36,3342,5,4,1,2,51,3,1,1,2,corporate,paid,investments for future,savings account,married,real property,one-bedroom apartment,service and sales,no,0
18,5866,3,2,1,2,30,3,2,1,2,current,opted to pay,purchase a vehicle,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
15,2360,3,2,1,2,36,3,1,1,2,entrepreneur,paid,weddings,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
15,1520,5,4,1,4,63,3,1,1,1,corporate,paid,travel and vacations,savings account,married,intellectual property,one-bedroom apartment,service and sales,no,0
12,3651,3,1,1,3,31,3,1,2,1,savings,opted to pay,purchase a vehicle,certificate of deposit,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,2346,4,4,1,3,35,3,2,1,2,corporate,paid,weddings,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
36,4454,3,4,1,4,34,3,2,1,1,corporate,partly paid,investments for future,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
6,666,4,3,1,4,39,3,2,1,2,savings,paid,purchase a vehicle,certificate of deposit,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
24,1965,3,4,1,4,42,3,2,1,2,current,partly paid,purchase a vehicle,savings account,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
12,1995,2,4,1,1,27,3,1,1,1,current,paid,purchase a vehicle,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
30,2991,5,2,1,4,25,3,1,1,1,current,opted to pay,investments for future,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
30,4221,3,2,1,1,28,3,2,1,1,current,defaulted,student loan,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
9,1364,4,3,1,4,59,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
18,6361,5,2,1,1,41,3,1,1,2,current,paid,travel and vacations,high-yield savings accounts,married,financial assets,one-bedroom apartment,service and sales,no,0
27,4526,2,4,1,2,32,2,2,2,2,corporate,paid,travel and vacations,certificate of deposit,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,3573,3,1,1,1,23,3,1,1,1,current,paid,investments for future,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
36,4455,3,2,1,2,30,2,2,1,2,current,partly paid,student loan,high-yield savings accounts,widowed,human capital,one-bedroom apartment,professional and managerial,no,1
9,2136,3,3,1,2,25,3,1,1,1,savings,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
42,5954,4,2,1,1,41,1,2,1,1,current,paid,student loan,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
24,3777,3,4,1,4,40,3,1,1,2,corporate,paid,travel and vacations,certificate of deposit,married,human capital,one-bedroom apartment,service and sales,no,0
15,806,3,4,1,4,22,3,1,1,1,savings,opted to pay,student loan,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
24,4712,3,4,1,2,34,1,2,1,2,current,partly paid,student loan,savings account,married,intellectual property,one-bedroom apartment,professional and managerial,no,0
36,7432,3,2,1,2,54,3,1,1,1,current,partly paid,purchase a vehicle,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
24,1851,4,4,3,2,33,3,2,1,2,corporate,paid,investments for future,high-yield savings accounts,single,real property,one-bedroom apartment,service and sales,no,0
24,1393,3,2,3,2,31,3,1,1,2,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
12,1412,3,4,3,2,29,3,2,1,2,corporate,paid,student loan,high-yield savings accounts,divorced,human capital,one-bedroom apartment,professional and managerial,no,0
18,1473,2,3,1,4,39,3,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,single,human capital,one-bedroom apartment,service and sales,no,0
24,1533,2,4,1,3,38,2,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
12,2012,4,4,1,2,61,3,1,1,1,corporate,paid,home repairs,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
15,3959,3,3,1,2,29,3,1,1,2,savings,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,1
6,428,5,2,1,1,49,1,1,1,2,savings,opted to pay,travel and vacations,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
12,2366,4,3,1,3,36,3,1,1,2,current,paid,purchase a vehicle,money market accounts,widowed,real property,one-bedroom apartment,professional and managerial,no,0
12,763,3,4,1,1,26,3,1,1,2,corporate,opted to pay,travel and vacations,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
21,3976,4,2,1,3,35,3,1,1,2,current,opted to pay,travel and vacations,savings account,married,real property,one-bedroom apartment,service and sales,no,0
18,6260,4,3,1,3,28,3,1,1,1,current,opted to pay,purchase a vehicle,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
9,1919,4,4,1,3,35,3,1,1,2,current,paid,travel and vacations,high-yield savings accounts,married,real property,two or multi-bedroom apartment,service and sales,no,0
24,2603,3,2,1,4,28,3,1,1,2,corporate,opted to pay,weddings,certificate of deposit,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
9,936,5,4,1,2,52,3,2,1,2,corporate,paid,home repairs,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,3062,5,4,1,3,32,3,1,1,2,corporate,opted to pay,travel and vacations,money market accounts,married,financial assets,two or multi-bedroom apartment,service and sales,no,0
36,4795,2,4,1,1,30,3,1,1,2,current,opted to pay,investments for future,high-yield savings accounts,divorced,financial assets,one-bedroom apartment,professional and managerial,no,0
36,5842,5,2,1,2,35,3,2,2,2,corporate,paid,weddings,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
6,2063,2,4,1,3,30,3,1,1,2,current,opted to pay,investments for future,high-yield savings accounts,single,real property,two or multi-bedroom apartment,professional and managerial,no,0
15,1459,3,4,1,2,43,3,1,1,1,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,skilled trades and technical,no,0
15,1213,5,4,1,3,47,2,1,1,2,corporate,opted to pay,investments for future,money market accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,5103,2,3,1,3,47,3,3,1,2,corporate,paid,investments for future,high-yield savings accounts,single,financial assets,studio apartment,service and sales,no,0
15,874,2,4,1,1,24,3,1,1,1,corporate,opted to pay,emergency medical bills,savings account,divorced,human capital,one-bedroom apartment,service and sales,no,0
6,2978,3,1,1,2,32,3,1,1,2,corporate,opted to pay,travel and vacations,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
18,1820,3,2,1,2,30,3,1,1,2,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,single,intellectual property,one-bedroom apartment,professional and managerial,no,0
24,2872,5,3,1,4,36,3,1,2,2,corporate,paid,investments for future,individual retirement accounts,married,human capital,one-bedroom apartment,service and sales,no,0
24,1925,3,2,1,2,26,3,1,1,1,entrepreneur,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
18,2515,3,3,1,4,43,3,1,1,2,corporate,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
6,2116,3,2,1,2,41,3,1,1,2,entrepreneur,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
18,1453,2,3,1,1,26,3,1,1,1,corporate,opted to pay,investments for future,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
10,1364,3,2,1,4,64,3,1,1,2,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
6,1543,3,4,1,2,33,3,1,1,1,corporate,opted to pay,travel and vacations,certificate of deposit,widowed,human capital,one-bedroom apartment,service and sales,no,0
12,1318,5,4,1,4,54,3,1,1,2,current,opted to pay,purchase a vehicle,certificate of deposit,married,human capital,one-bedroom apartment,service and sales,no,0
24,2325,4,2,1,3,32,1,1,1,1,savings,active,purchase a vehicle,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
6,932,4,1,1,3,39,3,2,1,1,current,paid,starting or expanding a business,savings account,divorced,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
24,3148,3,3,1,2,31,3,2,1,2,entrepreneur,paid,investments for future,savings account,married,real property,one-bedroom apartment,service and sales,no,0
36,3835,5,2,1,4,45,3,1,1,2,corporate,opted to pay,investments for future,savings account,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
9,3832,5,1,1,4,64,3,1,1,1,corporate,opted to pay,home repairs,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
24,5084,5,2,1,4,42,3,1,1,2,current,opted to pay,investments for future,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
9,2406,1,2,1,3,31,3,1,1,1,corporate,paid,travel and vacations,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
36,2394,3,4,1,4,25,3,1,1,1,corporate,opted to pay,investments for future,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
21,2476,5,4,1,4,46,3,1,1,2,corporate,opted to pay,weddings,savings account,married,human capital,one-bedroom apartment,professional and managerial,no,0
24,2964,5,4,1,4,49,1,1,2,2,savings,opted to pay,weddings,savings account,married,financial assets,studio apartment,service and sales,no,0
12,1262,5,2,1,4,49,3,1,1,2,savings,opted to pay,travel and vacations,savings account,widowed,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
12,1542,4,2,1,4,36,3,1,1,2,corporate,opted to pay,student loan,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,1743,5,4,1,2,48,3,2,1,1,current,paid,investments for future,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
12,409,3,3,1,3,42,3,2,1,1,entrepreneur,active,investments for future,certificate of deposit,divorced,human capital,two or multi-bedroom apartment,service and sales,no,0
12,2171,2,2,1,2,29,1,1,1,1,corporate,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
48,8858,4,2,1,1,35,3,2,1,2,corporate,paid,weddings,savings account,married,financial assets,studio apartment,service and sales,no,0
24,3512,4,2,1,3,38,1,2,1,2,current,opted to pay,purchase a vehicle,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1158,3,3,1,1,26,3,1,1,2,current,opted to pay,investments for future,money market accounts,widowed,real property,one-bedroom apartment,service and sales,no,0
24,2684,3,4,1,2,35,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,1498,3,4,1,1,23,1,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
30,5954,4,3,2,2,38,3,1,1,1,corporate,paid,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
48,6416,5,4,1,3,59,3,1,1,1,current,active,student loan,high-yield savings accounts,divorced,financial assets,two or multi-bedroom apartment,service and sales,no,1
12,3617,5,1,1,4,28,3,3,1,2,current,paid,travel and vacations,high-yield savings accounts,married,real property,two or multi-bedroom apartment,service and sales,no,0
12,1291,3,4,1,2,35,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
24,1275,3,2,1,4,36,3,2,1,2,entrepreneur,paid,student loan,certificate of deposit,widowed,human capital,one-bedroom apartment,service and sales,no,0
24,3972,4,2,1,4,25,3,1,1,2,corporate,opted to pay,travel and vacations,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
15,3343,3,4,1,2,28,3,1,1,2,corporate,paid,travel and vacations,high-yield savings accounts,married,financial assets,studio apartment,service and sales,no,0
15,392,2,4,1,4,23,3,1,1,2,entrepreneur,opted to pay,home repairs,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
9,2134,3,4,1,4,48,3,3,1,2,corporate,paid,purchase a vehicle,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
30,5771,4,4,1,2,25,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
24,4526,3,3,1,2,74,3,1,1,2,corporate,paid,student loan,high-yield savings accounts,married,human capital,one-bedroom apartment,professional and managerial,no,0
15,2788,4,2,2,3,24,1,2,1,1,corporate,paid,travel and vacations,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
6,1382,3,1,1,1,28,3,2,1,2,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
36,5848,3,4,1,1,24,3,1,1,1,entrepreneur,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1228,3,4,1,2,24,3,1,1,1,savings,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,1
12,1297,3,3,1,4,23,3,1,1,1,entrepreneur,opted to pay,investments for future,high-yield savings accounts,single,human capital,two or multi-bedroom apartment,service and sales,no,0
24,1552,4,3,1,1,32,1,1,2,1,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1963,4,4,1,2,31,3,2,2,2,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,two or multi-bedroom apartment,professional and managerial,no,0
24,3235,5,3,1,2,36,3,1,1,2,corporate,opted to pay,investments for future,money market accounts,widowed,real property,one-bedroom apartment,professional and managerial,no,0
24,4139,3,3,1,3,27,3,2,1,2,corporate,paid,student loan,individual retirement accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
12,1804,2,3,1,4,44,3,1,1,1,current,paid,weddings,individual retirement accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
18,1950,4,4,1,1,34,2,2,1,2,corporate,opted to pay,student loan,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
48,12749,4,4,1,1,37,3,1,1,2,corporate,partly paid,investments for future,money market accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
9,1236,2,1,1,4,23,3,1,1,2,corporate,opted to pay,emergency medical bills,high-yield savings accounts,divorced,human capital,two or multi-bedroom apartment,service and sales,no,0
18,1055,2,4,1,1,30,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
30,8072,2,2,1,3,25,1,3,1,1,savings,defaulted,student loan,savings account,married,real property,one-bedroom apartment,service and sales,no,0
30,2831,3,4,1,2,33,3,1,1,2,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
9,1449,4,3,1,2,27,3,2,1,1,corporate,opted to pay,student loan,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
36,5742,4,2,1,2,31,3,2,1,2,corporate,opted to pay,student loan,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,2390,5,4,1,3,50,3,1,1,2,corporate,opted to pay,purchase a vehicle,savings account,married,real property,one-bedroom apartment,service and sales,no,0
24,3430,5,3,1,2,31,3,1,2,2,corporate,opted to pay,investments for future,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
